age_BP,median,q05,q95
7144,-0.0077,-0.1233,0.1238
7154,-0.0087,-0.1253,0.1204
7164,-0.0280,-0.1427,0.1022
7174,-0.0189,-0.1329,0.1095
7184,-0.0213,-0.1358,0.1059
7194,-0.0354,-0.1502,0.0917
7204,-0.0621,-0.1761,0.0665
7214,-0.0577,-0.1725,0.0701
7224,-0.0601,-0.1753,0.0679
7234,-0.0608,-0.1755,0.0663
7244,-0.0616,-0.1762,0.0667
7254,-0.0516,-0.1671,0.0740
7264,-0.0483,-0.1639,0.0775
7274,-0.0530,-0.1677,0.0728
7284,-0.0533,-0.1673,0.0718
7294,-0.0533,-0.1695,0.0737
7304,-0.0638,-0.1785,0.0621
7314,-0.0648,-0.1804,0.0600
7324,-0.0864,-0.2012,0.0376
7334,-0.0812,-0.1966,0.0409
7344,-0.0889,-0.2008,0.0303
7354,-0.0972,-0.2082,0.0221
7364,-0.0975,-0.2078,0.0214
7374,-0.0828,-0.1937,0.0373
7384,-0.0688,-0.1787,0.0495
7394,-0.0696,-0.1803,0.0493
7404,-0.0620,-0.1721,0.0563
7414,-0.0887,-0.1991,0.0273
7424,-0.1111,-0.2224,0.0049
7434,-0.1103,-0.2205,0.0051
7444,-0.1168,-0.2278,-0.0014
7454,-0.1239,-0.2343,-0.0077
7464,-0.1329,-0.2432,-0.0166
7474,-0.1342,-0.2446,-0.0184
7484,-0.1403,-0.2508,-0.0250
7494,-0.1492,-0.2600,-0.0335
7504,-0.1516,-0.2615,-0.0356
7514,-0.1567,-0.2674,-0.0423
7524,-0.1528,-0.2635,-0.0388
7534,-0.1387,-0.2486,-0.0249
7544,-0.1447,-0.2555,-0.0301
7554,-0.1346,-0.2448,-0.0215
7564,-0.1287,-0.2385,-0.0157
7574,-0.1349,-0.2457,-0.0210
7584,-0.1277,-0.2390,-0.0143
7594,-0.1285,-0.2392,-0.0145
7604,-0.1302,-0.2418,-0.0173
7614,-0.1364,-0.2460,-0.0246
7624,-0.1381,-0.2459,-0.0263
7634,-0.1453,-0.2527,-0.0317
7644,-0.1477,-0.2573,-0.0343
7654,-0.1511,-0.2600,-0.0387
7664,-0.1486,-0.2561,-0.0358
7674,-0.1454,-0.2553,-0.0337
7684,-0.1290,-0.2379,-0.0162
7694,-0.1368,-0.2447,-0.0245
7704,-0.1455,-0.2518,-0.0325
7714,-0.1325,-0.2383,-0.0195
7724,-0.1414,-0.2466,-0.0276
7734,-0.1473,-0.2531,-0.0335
7744,-0.1540,-0.2590,-0.0401
7754,-0.1484,-0.2579,-0.0336
7764,-0.1472,-0.2542,-0.0323
7774,-0.1583,-0.2653,-0.0436
7784,-0.1394,-0.2470,-0.0252
7794,-0.1343,-0.2413,-0.0204
7804,-0.1316,-0.2403,-0.0168
7814,-0.1238,-0.2314,-0.0096
7824,-0.1182,-0.2253,-0.0048
7834,-0.1220,-0.2291,-0.0091
7844,-0.1227,-0.2303,-0.0088
7854,-0.1274,-0.2345,-0.0120
7864,-0.1471,-0.2544,-0.0321
7874,-0.1629,-0.2709,-0.0482
7884,-0.1702,-0.2754,-0.0552
7894,-0.1427,-0.2477,-0.0274
7904,-0.1429,-0.2473,-0.0278
7914,-0.1401,-0.2451,-0.0247
7924,-0.1366,-0.2416,-0.0210
7934,-0.1269,-0.2329,-0.0101
7944,-0.1323,-0.2386,-0.0158
7954,-0.1302,-0.2357,-0.0138
7964,-0.1307,-0.2376,-0.0139
7974,-0.1494,-0.2566,-0.0327
7984,-0.1702,-0.2763,-0.0532
7994,-0.1697,-0.2753,-0.0529
8004,-0.1663,-0.2729,-0.0504
8014,-0.1844,-0.2913,-0.0686
8024,-0.1852,-0.2894,-0.0691
8034,-0.1734,-0.2790,-0.0570
8044,-0.1817,-0.2869,-0.0641
8054,-0.1769,-0.2816,-0.0596
8064,-0.1700,-0.2746,-0.0521
8074,-0.1768,-0.2818,-0.0601
8084,-0.1718,-0.2800,-0.0548
8094,-0.1819,-0.2895,-0.0649
8104,-0.1933,-0.3010,-0.0760
8114,-0.1993,-0.3063,-0.0817
8124,-0.2111,-0.3183,-0.0942
8134,-0.2570,-0.3642,-0.1407
8144,-0.2669,-0.3729,-0.1511
8154,-0.2646,-0.3701,-0.1488
8164,-0.2660,-0.3721,-0.1503
8174,-0.2694,-0.3744,-0.1542
8184,-0.2472,-0.3523,-0.1307
8194,-0.2321,-0.3368,-0.1158
8204,-0.2172,-0.3236,-0.1032
8214,-0.1884,-0.2936,-0.0744
8224,-0.1926,-0.2970,-0.0789
8234,-0.1927,-0.2968,-0.0791
8244,-0.1868,-0.2908,-0.0729
8254,-0.1794,-0.2834,-0.0653
8264,-0.1819,-0.2845,-0.0673
8274,-0.1760,-0.2801,-0.0619
8284,-0.1803,-0.2833,-0.0664
8294,-0.1823,-0.2861,-0.0684
8304,-0.2088,-0.3123,-0.0963
8314,-0.2083,-0.3117,-0.0935
8324,-0.2229,-0.3268,-0.1094
8334,-0.2356,-0.3407,-0.1197
8344,-0.2386,-0.3430,-0.1250
8354,-0.2447,-0.3493,-0.1312
8364,-0.2395,-0.3435,-0.1254
8374,-0.2432,-0.3461,-0.1297
8384,-0.2354,-0.3373,-0.1224
8394,-0.2538,-0.3555,-0.1388
8404,-0.2395,-0.3414,-0.1250
8414,-0.2370,-0.3384,-0.1226
8424,-0.2378,-0.3395,-0.1242
8434,-0.2462,-0.3483,-0.1320
8444,-0.2531,-0.3546,-0.1398
8454,-0.2519,-0.3544,-0.1394
8464,-0.2570,-0.3601,-0.1444
8474,-0.2325,-0.3357,-0.1197
8484,-0.1971,-0.2997,-0.0844
8494,-0.2143,-0.3176,-0.1026
8504,-0.2358,-0.3394,-0.1239
8514,-0.2459,-0.3494,-0.1347
8524,-0.2787,-0.3818,-0.1677
8534,-0.2665,-0.3693,-0.1545
8544,-0.2731,-0.3763,-0.1612
8554,-0.2740,-0.3787,-0.1614
8564,-0.2483,-0.3523,-0.1357
8574,-0.2766,-0.3824,-0.1641
8584,-0.3053,-0.4108,-0.1920
8594,-0.3117,-0.4175,-0.1979
8604,-0.3165,-0.4223,-0.2036
8614,-0.3084,-0.4130,-0.1948
8624,-0.3005,-0.4052,-0.1864
8634,-0.3004,-0.4053,-0.1879
8644,-0.2936,-0.3992,-0.1812
8654,-0.2940,-0.3984,-0.1815
8664,-0.2574,-0.3636,-0.1443
8674,-0.2545,-0.3592,-0.1387
8684,-0.2435,-0.3484,-0.1278
8694,-0.2482,-0.3532,-0.1328
8704,-0.2555,-0.3615,-0.1413
8714,-0.2771,-0.3828,-0.1634
8724,-0.2835,-0.3900,-0.1690
8734,-0.2819,-0.3879,-0.1688
8744,-0.2618,-0.3683,-0.1480
8754,-0.2804,-0.3863,-0.1668
8764,-0.3029,-0.4091,-0.1888
8774,-0.3082,-0.4151,-0.1959
8784,-0.3198,-0.4277,-0.2072
8794,-0.3219,-0.4298,-0.2090
8804,-0.3372,-0.4444,-0.2264
8814,-0.3266,-0.4345,-0.2176
8824,-0.3190,-0.4265,-0.2094
8834,-0.3109,-0.4181,-0.2006
8844,-0.3238,-0.4320,-0.2137
8854,-0.3099,-0.4178,-0.2004
8864,-0.2900,-0.3977,-0.1811
8874,-0.2877,-0.3953,-0.1781
8884,-0.2893,-0.3962,-0.1817
8894,-0.3049,-0.4124,-0.1965
8904,-0.3125,-0.4195,-0.2038
8914,-0.3168,-0.4233,-0.2071
8924,-0.3074,-0.4144,-0.1990
8934,-0.3085,-0.4154,-0.2005
8944,-0.2980,-0.4054,-0.1899
8954,-0.3056,-0.4109,-0.1976
8964,-0.3231,-0.4296,-0.2153
8974,-0.3290,-0.4368,-0.2207
8984,-0.3185,-0.4283,-0.2106
8994,-0.3062,-0.4173,-0.1980
9004,-0.3122,-0.4221,-0.2037
9014,-0.3205,-0.4307,-0.2111
9024,-0.3228,-0.4314,-0.2116
9034,-0.3232,-0.4323,-0.2126
9044,-0.3250,-0.4354,-0.2144
9054,-0.3409,-0.4514,-0.2299
9064,-0.3314,-0.4423,-0.2199
9074,-0.3217,-0.4326,-0.2105
9084,-0.3102,-0.4213,-0.1990
9094,-0.3097,-0.4199,-0.1991
9104,-0.2969,-0.4075,-0.1861
9114,-0.3060,-0.4168,-0.1947
9124,-0.3381,-0.4503,-0.2269
9134,-0.3382,-0.4503,-0.2266
9144,-0.3343,-0.4440,-0.2239
9154,-0.3389,-0.4486,-0.2281
9164,-0.3448,-0.4544,-0.2346
9174,-0.3474,-0.4568,-0.2371
9184,-0.3530,-0.4631,-0.2423
9194,-0.3513,-0.4623,-0.2403
9204,-0.3261,-0.4386,-0.2173
9214,-0.3053,-0.4189,-0.1977
9224,-0.3052,-0.4204,-0.1977
9234,-0.3217,-0.4351,-0.2138
9244,-0.3491,-0.4628,-0.2395
9254,-0.3519,-0.4643,-0.2419
9264,-0.3608,-0.4748,-0.2507
9274,-0.3726,-0.4872,-0.2630
9284,-0.3795,-0.4932,-0.2699
9294,-0.3643,-0.4781,-0.2557
9304,-0.3500,-0.4638,-0.2415
9314,-0.3422,-0.4548,-0.2342
9324,-0.3315,-0.4460,-0.2247
9334,-0.3229,-0.4357,-0.2163
9344,-0.3228,-0.4359,-0.2160
9354,-0.3308,-0.4462,-0.2225
9364,-0.3406,-0.4563,-0.2334
9374,-0.3458,-0.4616,-0.2391
9384,-0.3548,-0.4719,-0.2478
9394,-0.3666,-0.4837,-0.2596
9404,-0.3787,-0.4945,-0.2713
9414,-0.3816,-0.4991,-0.2755
9424,-0.3761,-0.4939,-0.2699
9434,-0.3840,-0.5021,-0.2783
9444,-0.3935,-0.5108,-0.2874
9454,-0.3945,-0.5115,-0.2882
9464,-0.4001,-0.5188,-0.2920
9474,-0.4049,-0.5230,-0.2976
9484,-0.4091,-0.5277,-0.3016
9494,-0.4069,-0.5259,-0.3001
9504,-0.3861,-0.5071,-0.2792
9514,-0.3781,-0.4992,-0.2713
9524,-0.3733,-0.4944,-0.2664
9534,-0.3589,-0.4822,-0.2519
9544,-0.3592,-0.4832,-0.2535
9554,-0.3546,-0.4810,-0.2484
9564,-0.3451,-0.4711,-0.2391
9574,-0.3281,-0.4543,-0.2226
9584,-0.3326,-0.4582,-0.2270
9594,-0.3282,-0.4524,-0.2244
9604,-0.3369,-0.4615,-0.2329
9614,-0.3571,-0.4828,-0.2518
9624,-0.3493,-0.4749,-0.2441
9634,-0.3563,-0.4821,-0.2514
9644,-0.3656,-0.4898,-0.2607
9654,-0.3625,-0.4869,-0.2589
9664,-0.3703,-0.4954,-0.2673
9674,-0.3918,-0.5195,-0.2874
9684,-0.3883,-0.5163,-0.2832
9694,-0.3880,-0.5154,-0.2820
9704,-0.3779,-0.5047,-0.2715
9714,-0.3690,-0.4938,-0.2639
9724,-0.3824,-0.5098,-0.2772
9734,-0.3951,-0.5212,-0.2883
9744,-0.3914,-0.5186,-0.2844
9754,-0.3713,-0.4986,-0.2653
9764,-0.3783,-0.5051,-0.2719
9774,-0.3925,-0.5188,-0.2873
9784,-0.4018,-0.5279,-0.2962
9794,-0.4051,-0.5312,-0.2985
9804,-0.4124,-0.5387,-0.3057
9814,-0.4204,-0.5469,-0.3140
9824,-0.4056,-0.5318,-0.2992
9834,-0.4107,-0.5366,-0.3043
9844,-0.4287,-0.5562,-0.3218
9854,-0.4327,-0.5600,-0.3251
9864,-0.4210,-0.5471,-0.3141
9874,-0.4266,-0.5509,-0.3183
9884,-0.4274,-0.5525,-0.3192
9894,-0.4273,-0.5516,-0.3197
9904,-0.4256,-0.5506,-0.3180
9914,-0.4307,-0.5556,-0.3233
9924,-0.4235,-0.5483,-0.3159
9934,-0.4307,-0.5568,-0.3230
9944,-0.4439,-0.5679,-0.3366
9954,-0.4632,-0.5873,-0.3561
9964,-0.4646,-0.5893,-0.3563
9974,-0.4558,-0.5819,-0.3487
9984,-0.4469,-0.5749,-0.3420
9994,-0.4523,-0.5787,-0.3486
10004,-0.4382,-0.5645,-0.3345
10014,-0.4462,-0.5753,-0.3397
10024,-0.4557,-0.5832,-0.3487
10034,-0.4608,-0.5870,-0.3544
10044,-0.4804,-0.6046,-0.3736
10054,-0.4880,-0.6106,-0.3817
10064,-0.5005,-0.6242,-0.3950
10074,-0.5037,-0.6270,-0.3971
10084,-0.5072,-0.6337,-0.4005
10094,-0.5120,-0.6377,-0.4054
10104,-0.5012,-0.6276,-0.3947
10114,-0.4712,-0.5963,-0.3660
10124,-0.4748,-0.6002,-0.3693
10134,-0.4605,-0.5851,-0.3534
10144,-0.4827,-0.6063,-0.3753
10154,-0.4880,-0.6134,-0.3784
10164,-0.5041,-0.6303,-0.3953
10174,-0.4849,-0.6119,-0.3758
10184,-0.4875,-0.6152,-0.3776
10194,-0.5038,-0.6315,-0.3920
10204,-0.4919,-0.6191,-0.3824
10214,-0.4962,-0.6228,-0.3867
10224,-0.4956,-0.6201,-0.3857
10234,-0.4794,-0.6044,-0.3697
10244,-0.4908,-0.6180,-0.3790
10254,-0.4962,-0.6237,-0.3842
10264,-0.5155,-0.6432,-0.4041
10274,-0.5064,-0.6334,-0.3961
10284,-0.5129,-0.6402,-0.4032
10294,-0.5035,-0.6315,-0.3936
10304,-0.5068,-0.6340,-0.3978
10314,-0.5319,-0.6589,-0.4235
10324,-0.5205,-0.6490,-0.4132
10334,-0.5173,-0.6443,-0.4084
10344,-0.5212,-0.6482,-0.4109
10354,-0.5364,-0.6640,-0.4264
10364,-0.5259,-0.6538,-0.4174
10374,-0.5354,-0.6635,-0.4256
10384,-0.5344,-0.6632,-0.4241
10394,-0.5400,-0.6694,-0.4308
10404,-0.5361,-0.6633,-0.4271
10414,-0.5615,-0.6907,-0.4519
10424,-0.5673,-0.6953,-0.4577
10434,-0.5883,-0.7155,-0.4790
10444,-0.6020,-0.7316,-0.4922
10454,-0.6068,-0.7364,-0.4975
10464,-0.5883,-0.7182,-0.4792
10474,-0.5856,-0.7158,-0.4756
10484,-0.5933,-0.7229,-0.4837
10494,-0.5949,-0.7254,-0.4861
10504,-0.5873,-0.7179,-0.4775
10514,-0.6033,-0.7334,-0.4930
10524,-0.6096,-0.7383,-0.4983
10534,-0.6088,-0.7393,-0.4974
10544,-0.6353,-0.7662,-0.5247
10554,-0.6358,-0.7657,-0.5258
10564,-0.6394,-0.7686,-0.5292
10574,-0.6394,-0.7685,-0.5310
10584,-0.6532,-0.7830,-0.5437
10594,-0.6286,-0.7565,-0.5199
10604,-0.6279,-0.7561,-0.5187
10614,-0.6253,-0.7531,-0.5160
10624,-0.6194,-0.7467,-0.5097
10634,-0.6398,-0.7667,-0.5310
10644,-0.6450,-0.7712,-0.5359
10654,-0.6461,-0.7717,-0.5363
10664,-0.6504,-0.7779,-0.5393
10674,-0.6579,-0.7865,-0.5466
10684,-0.6693,-0.7993,-0.5589
10694,-0.6674,-0.7965,-0.5578
10704,-0.6666,-0.7943,-0.5583
10714,-0.6557,-0.7824,-0.5460
10724,-0.6545,-0.7810,-0.5451
10734,-0.6526,-0.7791,-0.5429
10744,-0.6559,-0.7847,-0.5480
10754,-0.6754,-0.8048,-0.5667
10764,-0.6690,-0.7989,-0.5603
10774,-0.6927,-0.8220,-0.5820
10784,-0.6910,-0.8194,-0.5801
10794,-0.6948,-0.8230,-0.5846
10804,-0.7240,-0.8545,-0.6145
10814,-0.7025,-0.8314,-0.5914
10824,-0.7008,-0.8302,-0.5901
10834,-0.7338,-0.8640,-0.6239
10844,-0.7433,-0.8736,-0.6326
10854,-0.7527,-0.8852,-0.6413
10864,-0.7597,-0.8908,-0.6478
10874,-0.7456,-0.8782,-0.6340
10884,-0.7230,-0.8564,-0.6110
10894,-0.7145,-0.8471,-0.6014
10904,-0.7133,-0.8469,-0.5981
10914,-0.7187,-0.8545,-0.6013
10924,-0.7167,-0.8520,-0.5997
10934,-0.7096,-0.8430,-0.5923
10944,-0.7112,-0.8450,-0.5933
10954,-0.7230,-0.8587,-0.6036
10964,-0.7371,-0.8755,-0.6171
10974,-0.7665,-0.9049,-0.6450
10984,-0.7515,-0.8910,-0.6267
10994,-0.7510,-0.8910,-0.6251
11004,-0.7623,-0.9036,-0.6355
11014,-0.7424,-0.8810,-0.6158
11024,-0.7218,-0.8614,-0.5949
11034,-0.7038,-0.8436,-0.5746
11044,-0.6729,-0.8130,-0.5465
11054,-0.6578,-0.7980,-0.5301
11064,-0.6490,-0.7911,-0.5203
11074,-0.6576,-0.8016,-0.5246
11084,-0.6685,-0.8129,-0.5359
11094,-0.6393,-0.7841,-0.5072
11104,-0.6525,-0.7974,-0.5190
11114,-0.6577,-0.8037,-0.5238
11124,-0.6708,-0.8147,-0.5355
11134,-0.7130,-0.8576,-0.5766
11144,-0.7142,-0.8632,-0.5763
11154,-0.7010,-0.8502,-0.5621
11164,-0.6763,-0.8219,-0.5377
11174,-0.6744,-0.8220,-0.5367
11184,-0.6908,-0.8364,-0.5497
11194,-0.7044,-0.8501,-0.5617
11204,-0.7177,-0.8624,-0.5734
11214,-0.6923,-0.8375,-0.5450
11224,-0.6786,-0.8260,-0.5309
11234,-0.6856,-0.8306,-0.5374
11244,-0.7073,-0.8543,-0.5535
11254,-0.7017,-0.8509,-0.5504
11264,-0.6872,-0.8346,-0.5370
11274,-0.7009,-0.8506,-0.5481
11284,-0.7075,-0.8586,-0.5550
11294,-0.7600,-0.9116,-0.6022
11304,-0.7601,-0.9122,-0.6024
11314,-0.7746,-0.9259,-0.6175
11324,-0.7990,-0.9503,-0.6401
11334,-0.8323,-0.9844,-0.6733
11344,-0.8419,-0.9938,-0.6823
11354,-0.8422,-0.9942,-0.6822
11364,-0.8453,-0.9975,-0.6871
11374,-0.8671,-1.0171,-0.7083
11384,-0.8563,-1.0068,-0.6975
11394,-0.8494,-0.9999,-0.6905
11404,-0.8433,-0.9930,-0.6842
11414,-0.8637,-1.0130,-0.7049
11424,-0.8957,-1.0466,-0.7359
11434,-0.8941,-1.0441,-0.7323
11444,-0.8776,-1.0258,-0.7165
11454,-0.8928,-1.0400,-0.7324
11464,-0.8998,-1.0513,-0.7390
11474,-0.9004,-1.0519,-0.7400
11484,-0.9287,-1.0791,-0.7683
11494,-0.9213,-1.0720,-0.7605
11504,-0.9114,-1.0629,-0.7495
11514,-0.9445,-1.0971,-0.7828
11524,-0.9847,-1.1362,-0.8197
11534,-1.0185,-1.1697,-0.8541
11544,-1.0086,-1.1590,-0.8438
11554,-1.0150,-1.1677,-0.8504
11564,-1.0533,-1.2052,-0.8900
11574,-1.0300,-1.1871,-0.8685
11584,-1.0155,-1.1745,-0.8572
11594,-1.0412,-1.1970,-0.8820
11604,-1.0359,-1.1972,-0.8744
11614,-1.0854,-1.2494,-0.9218
11624,-1.0965,-1.2623,-0.9335
11634,-1.1016,-1.2681,-0.9380
11644,-1.1049,-1.2701,-0.9402
11654,-1.1210,-1.2849,-0.9573
11664,-1.1716,-1.3366,-1.0075
11674,-1.1630,-1.3290,-0.9970
11684,-1.1969,-1.3640,-1.0346
11694,-1.2453,-1.4119,-1.0822
11704,-1.2837,-1.4495,-1.1201
11714,-1.3288,-1.4944,-1.1649
11724,-1.3542,-1.5198,-1.1903
11734,-1.3905,-1.5559,-1.2252
11744,-1.4284,-1.5939,-1.2626
11754,-1.4286,-1.5942,-1.2619
11764,-1.3888,-1.5535,-1.2234
11774,-1.3801,-1.5443,-1.2152
11784,-1.4122,-1.5759,-1.2463
11794,-1.4173,-1.5810,-1.2510
11804,-1.4247,-1.5899,-1.2577
11814,-1.4383,-1.6022,-1.2709
11824,-1.4182,-1.5829,-1.2534
11834,-1.3950,-1.5585,-1.2290
11844,-1.3892,-1.5529,-1.2221
11854,-1.4060,-1.5706,-1.2390
11864,-1.4909,-1.6542,-1.3228
11874,-1.4699,-1.6327,-1.3019
11884,-1.5153,-1.6810,-1.3444
11894,-1.6363,-1.8022,-1.4618
11904,-1.6301,-1.7960,-1.4545
11914,-1.6466,-1.8132,-1.4688
11924,-1.6654,-1.8352,-1.4880
11934,-1.6759,-1.8455,-1.5014
11944,-1.6653,-1.8362,-1.4894
11954,-1.6658,-1.8351,-1.4927
11964,-1.6604,-1.8286,-1.4874
11974,-1.6765,-1.8427,-1.4999
11984,-1.6542,-1.8200,-1.4774
11994,-1.6178,-1.7866,-1.4414
